FEB = 36, CHIP = 1, Vref_integ = 0
FEB = 36, CHIP = 2, Vref_integ = 0
FEB = 36, CHIP = 1, Vref_integ = 0
FEB = 36, CHIP = 2, Vref_integ = 0
FEB = 36, CHIP = 1, Vref_integ = 0
FEB = 36, CHIP = 2, Vref_integ = 0
FEB = 41, CHIP = 1, Vref_integ = 5
FEB = 41, CHIP = 2, Vref_integ = 5
FEB = 42, CHIP = 1, Vref_integ = 5
FEB = 42, CHIP = 2, Vref_integ = 5
FEB = 41, CHIP = 1, Vref_integ = 5
FEB = 41, CHIP = 2, Vref_integ = 0
FEB = 41, CHIP = 1, Vref_integ = 5
FEB = 41, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 33, CHIP = 1, Vref_integ = 0
FEB = 33, CHIP = 2, Vref_integ = 0
FEB = 33, CHIP = 1, Vref_integ = 0
FEB = 33, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 41, CHIP = 1, Vref_integ = 5
FEB = 41, CHIP = 2, Vref_integ = 0
FEB = 42, CHIP = 1, Vref_integ = 5
FEB = 42, CHIP = 2, Vref_integ = 5
FEB = 42, CHIP = 1, Vref_integ = 5
FEB = 42, CHIP = 2, Vref_integ = 5
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 38, CHIP = 1, Vref_integ = 0
FEB = 38, CHIP = 2, Vref_integ = 0
FEB = 42, CHIP = 1, Vref_integ = 5
FEB = 42, CHIP = 2, Vref_integ = 5
FEB = 41, CHIP = 1, Vref_integ = 5
FEB = 41, CHIP = 2, Vref_integ = 0
FEB = 31, CHIP = 1, Vref_integ = 10
FEB = 31, CHIP = 2, Vref_integ = 0
FEB = 31, CHIP = 1, Vref_integ = 10
FEB = 31, CHIP = 2, Vref_integ = 0
